3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS  27872   222922122  0.1570
3JZq4atUahhuA9rLhXLMhhTo133J9rF97j  27101   216752762  0.1527
1D1FBDPDymySAbLSVxCNZMY7k6G1p1CbSc 25852   206765367  0.1457
35Ui9NwVp4VKjXs3rPiAcrND6cQWhKmPJ5  25212   201643494  0.1421
3HZUwxZbYRef9oEuvSvjgVMyZ227Hur7ng  24000   191956774  0.1352
33FKcwFhFBKWHh46Ksmxs3QBu8HV7h8QdF 23382   187009503  0.1317
1AnwDVbwsLBVwRfqN2x9Eo4YEJSPXo2cwG  23228   185775447  0.1309
16FSBGvQfy4K8dYvPPWWpmzgKM6CvrCoVy  22549   180345569C 0.1271
14eQD1QQb8QFVG8YFwGz7skyzsvBLWLwJS  22211   177645838    0.1252
3MrMeBmbcDjLc52i7j3SdznChU4Fd4WHbw 21900   175157163    0.1234
33VukC9ReF5bkDvPNUTy5j6VEbzMc9JFt3  21754   173991862    0.1226
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo  20088   160661830  0.1132
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn 20008   160024833    0.1127
1Fp9KLM6cs35y8QvyqAiL714WMFSLBJDLC 20000   159960844    0.1127
3ACGWkNmZFT8gMzo7vLUtocd8ajCjFW7FX  20000   159960836    0.1127
12BZD75sbMmdj5dy1d5cS2Lo4YWs1FDbDn 19722   157734205  0.1111
12nxRsisUcJqCDeUpTYH2a7F5jcad3YhFG 19631   157008047    0.1106
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb 19517   156101127    0.1100
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW 19414   155277416    0.1094
32ixB1aXiwgpHGHo27SMRSULajCdc7jq9Q  18900   151162728  0.1065
1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ 18879   150992013  0.1064
3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyh  18318   146511836  0.1032
18x5Wo3FLQN4t1DLZgV2MoAMWXmCYL9b7M  18057   144419524    0.1017
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG 15746   125933618    0.08872
3N9an8wv4SYi3FVXs3xR5k2AqXeNZiw2mf 15500   123968780    0.08734
15xZvLJLAgxh8cxEmAbpx1H35oibHo5cLA 15300   122368215    0.08621
1BvdLm9RcFWncKpJYr7YjFttYJ9zLf7We 15000   119970633    0.08452
1EWQDPddGnM8hTYZ7ehgx3Y62mMsNApnDf 15000   119970633    0.08452
1DWsHCjeekCe3tRzMuJktHhFrtLQDeodcP 15000   119970632    0.08452
1HLsDiYE8P61Z3mwqVuq1xtuoZkJZ8rX7P 15000   119970625    0.08452
1PfceCKGraSPEvx6nfjw5ZCLLy8Ct23Qd5 15000   119969834    0.08452
